iter	Passed	Remaining
770	4706	1398
771	4712	1391
772	4718	1385
773	4723	1379
774	4729	1372
775	4735	1367
776	4742	1361
777	4748	1354
778	4754	1348
779	4760	1342
780	4766	1336
781	4771	1330
782	4777	1324
783	4782	1317
784	4788	1311
785	4793	1305
786	4799	1298
787	4805	1292
788	4810	1286
789	4817	1280
790	4822	1274
791	4827	1267
792	4833	1261
793	4839	1255
794	4844	1249
795	4850	1243
796	4856	1236
797	4861	1230
798	4868	1224
799	4874	1218
800	4879	1212
801	4885	1206
802	4891	1200
803	4896	1193
804	4902	1187
805	4908	1181
806	4913	1175
807	4919	1169
808	4925	1162
809	4930	1156
810	4937	1150
811	4943	1144
812	4949	1138
813	4954	1132
814	4960	1125
815	4965	1119
816	4970	1113
817	4976	1107
818	4983	1101
819	4989	1095
820	4995	1089
821	5000	1082
822	5006	1076
823	5012	1070
824	5018	1064
825	5024	1058
826	5030	1052
827	5035	1046
828	5040	1039
829	5046	1033
830	5053	1027
831	5057	1021
832	5064	1015
833	5070	1009
834	5077	1003
835	5083	997
836	5089	991
837	5096	985
838	5103	979
839	5111	973
840	5119	967
841	5126	962
842	5133	956
843	5140	950
844	5146	944
845	5152	937
846	5158	931
847	5165	925
848	5172	919
849	5178	913
850	5185	907
851	5192	901
852	5198	895
853	5205	889
854	5240	888
855	5247	882
856	5255	876
857	5262	870
858	5268	864
859	5276	858
860	5282	852
861	5289	846
862	5296	840
863	5303	834
864	5310	828
865	5316	822
866	5324	816
867	5331	810
868	5338	804
869	5345	798
870	5352	792
871	5360	786
872	5367	780
873	5374	774
874	5381	768
875	5388	762
876	5396	756
877	5403	750
878	5411	744
879	5417	738
880	5424	732
881	5431	726
882	5438	720
883	5445	714
884	5451	708
885	5458	702
886	5465	696
887	5472	690
888	5479	684
889	5485	677
890	5492	671
891	5498	665
892	5505	659
893	5513	653
894	5521	647
895	5529	641
896	5537	635
897	5544	629
898	5550	623
899	5556	617
900	5562	611
901	5569	605
902	5577	599
903	5583	592
904	5589	586
905	5596	580
906	5602	574
907	5608	568
908	5614	562
909	5620	555
910	5626	549
911	5632	543
912	5638	537
913	5644	531
914	5650	524
915	5655	518
916	5661	512
917	5667	506
918	5672	499
919	5678	493
920	5684	487
921	5689	481
922	5696	475
923	5701	468
924	5706	462
925	5712	456
926	5718	450
927	5722	444
928	5728	437
929	5733	431
930	5739	425
931	5745	419
932	5750	412
933	5756	406
934	5762	400
935	5767	394
936	5773	388
937	5779	382
938	5784	375
939	5790	369
940	5796	363
941	5801	357
942	5807	351
943	5812	344
944	5818	338
945	5823	332
946	5828	326
947	5834	320
948	5839	313
949	5844	307
950	5850	301
951	5855	295
952	5861	289
953	5866	282
954	5871	276
955	5877	270
956	5882	264
957	5887	258
958	5893	251
959	5898	245
960	5904	239
961	5909	233
962	5914	227
963	5919	221
964	5925	214
965	5930	208
966	5936	202
967	5942	196
968	5947	190
969	5953	184
970	5958	177
971	5964	171
972	5969	165
973	5974	159
974	5980	153
975	5985	147
976	5990	141
977	5996	134
978	6001	128
979	6007	122
980	6012	116
981	6018	110
982	6023	104
983	6028	98
984	6034	91
985	6039	85
986	6045	79
987	6050	73
988	6056	67
989	6061	61
990	6067	55
991	6072	48
992	6078	42
993	6084	36
994	6090	30
995	6095	24
996	6100	18
997	6118	12
998	6123	6
999	6128	0
